"Date","countriesAndTerritories","cases","popData2018","TotalCases","Millions","PerMillion","PerMillionDay"
2020-05-08,"Singapore",741,5638676,20939,5.638676,3713.46039389389,131.413828352613
2020-05-08,"Sint_Maarten",0,41486,76,0.041486,1831.94330617558,0
2020-05-08,"Slovakia",16,5447011,1445,5.447011,265.283106643258,2.93739080020217
2020-05-08,"Slovenia",1,2067372,1449,2.067372,700.88982534348,0.483705883604886
2020-05-08,"Somalia",55,15008154,928,15.008154,61.8330542183935,3.66467454958151
2020-05-08,"South_Africa",424,57779622,8232,57.779622,142.472375468292,7.33822730789066
2020-05-08,"South_Korea",12,51635256,10822,51.635256,209.58548167167,0.232399351326931
2020-05-08,"South_Sudan",16,10975920,90,10.97592,8.19976821988498,1.457736572424
2020-05-08,"Spain",1410,46723749,222857,46.723749,4769.67291301903,30.1773729672249
2020-05-08,"Sri_Lanka",27,21670000,824,21.67,38.0249192431934,1.24596215966774
2020-05-08,"Sudan",78,41801533,930,41.801533,22.247987890779,1.8659602747105
2020-05-08,"Suriname",0,575991,10,0.575991,17.3613823827108,0
2020-05-08,"Sweden",705,10183175,24623,10.183175,2418.00813596938,69.2318456669948
2020-05-08,"Switzerland",66,8516543,30043,8.516543,3527.60503880506,7.74962329198596
2020-05-08,"Syria",0,16906283,45,16.906283,2.6617323275613,0
2020-05-08,"Taiwan",1,23780452,440,23.780452,18.5025919608256,0.0420513453655128
2020-05-08,"Tajikistan",82,9100837,461,9.100837,50.6546815419285,9.01016027426928
2020-05-08,"Thailand",3,69428524,2992,69.428524,43.0946796449252,0.0432099060610881
2020-05-08,"Timor_Leste",0,1267972,24,1.267972,18.9278627603764,0
2020-05-08,"Togo",7,7889094,135,7.889094,17.1122311383284,0.887300873839252
2020-05-08,"Trinidad_and_Tobago",0,1389858,116,1.389858,83.4617637197469,0
2020-05-08,"Tunisia",1,11565204,1026,11.565204,88.7143884362092,0.0864662655323676
2020-05-08,"Turkey",1977,82319724,133721,82.319724,1624.41020817805,24.0161155059266
2020-05-08,"Turks_and_Caicos_islands",0,31458,12,0.031458,381.460995613199,0
2020-05-08,"Uganda",3,42723139,101,42.723139,2.36405850234928,0.0702195594757211
2020-05-08,"Ukraine",507,44622516,13691,44.622516,306.818199135163,11.3619769893746
2020-05-08,"United_Arab_Emirates",502,9630959,16240,9.630959,1686.22875458197,52.1235735714377
2020-05-08,"United_Kingdom",5514,66488991,206715,66.488991,3109.0109338552,82.9310223703049
2020-05-08,"United_Republic_of_Tanzania",29,56318348,509,56.318348,9.03790714883895,0.514929876849371
2020-05-08,"United_States_of_America",28369,327167434,1256972,327.167434,3841.98385710969,86.7109530222987
2020-05-08,"United_States_Virgin_Islands",0,106977,66,0.106977,616.955046411846,0
2020-05-08,"Uruguay",11,3449299,684,3.449299,198.301162062205,3.18905377585417
2020-05-08,"Uzbekistan",65,32955400,2298,32.9554,69.730605606365,1.97236264769962
2020-05-08,"Venezuela",2,28870195,381,28.870195,13.1970012672239,0.0692755972032749
2020-05-08,"Vietnam",17,95540395,288,95.540395,3.01443174899999,0.177935207406249
2020-05-08,"Western_Sahara",0,NA,6,NA,NA,NA
2020-05-08,"Yemen",1,28498687,26,28.498687,0.912322732622735,0.0350893358701052
2020-05-08,"Zambia",7,17351822,153,17.351822,8.81751783760806,0.403415848779454
2020-05-08,"Zimbabwe",0,14439018,34,14.439018,2.3547307718572,0
